Anime,Character,Role,Favorites,char_url
Kenpuu Denki Berserk,Guts,Main,82816,https://myanimelist.net/character/422/Guts
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"Azusagawa, Sakuta",Main,14923,https://myanimelist.net/character/118733/Sakuta_Azusagawa
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"Makinohara, Shouko",Main,1150,https://myanimelist.net/character/149616/Shouko_Makinohara
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"Sakurajima, Mai",Main,38360,https://myanimelist.net/character/118739/Mai_Sakurajima
Kimi ni Todoke 3rd Season,"Kazehaya, Shouta",Main,3188,https://myanimelist.net/character/13531/Shouta_Kazehaya
Kimi ni Todoke 3rd Season,"Kuronuma, Sawako",Main,8072,https://myanimelist.net/character/6977/Sawako_Kuronuma
Kimi ni Todoke 3rd Season,"Sanada, Ryuu",Main,1008,https://myanimelist.net/character/13534/Ryuu_Sanada
Kimi ni Todoke 3rd Season,"Yano, Ayane",Main,697,https://myanimelist.net/character/13533/Ayane_Yano
Kimi ni Todoke 3rd Season,"Yoshida, Chizuru",Main,780,https://myanimelist.net/character/13532/Chizuru_Yoshida
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Abbacchio, Leone",Main,1059,https://myanimelist.net/character/17525/Leone_Abbacchio
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Bucciarati, Bruno",Main,7015,https://myanimelist.net/character/13045/Bruno_Bucciarati
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Diavolo,Main,1170,https://myanimelist.net/character/27155/Diavolo
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Fugo, Pannacotta",Main,660,https://myanimelist.net/character/13083/Pannacotta_Fugo
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Ghirga, Narancia",Main,2376,https://myanimelist.net/character/11895/Narancia_Ghirga
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Giovanna, Giorno",Main,7582,https://myanimelist.net/character/10529/Giorno_Giovanna
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Mista, Guido",Main,3739,https://myanimelist.net/character/13084/Guido_Mista
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Una, Trish",Main,231,https://myanimelist.net/character/27153/Trish_Una
Nana,"Komatsu, Nana",Main,4433,https://myanimelist.net/character/701/Nana_Komatsu
Nana,"Osaki, Nana",Main,12645,https://myanimelist.net/character/702/Nana_Osaki
Ookami Kodomo no Ame to Yuki,Ame,Main,340,https://myanimelist.net/character/60283/Ame
Ookami Kodomo no Ame to Yuki,Hana,Main,1220,https://myanimelist.net/character/60279/Hana
Ookami Kodomo no Ame to Yuki,Ookami,Main,112,https://myanimelist.net/character/60285/Ookami
Ookami Kodomo no Ame to Yuki,Yuki,Main,218,https://myanimelist.net/character/60281/Yuki
Yojouhan Shinwa Taikei,Akashi,Main,1716,https://myanimelist.net/character/31522/Akashi
Yojouhan Shinwa Taikei,Ozu,Main,1225,https://myanimelist.net/character/32556/Ozu
Yojouhan Shinwa Taikei,Watashi,Main,2489,https://myanimelist.net/character/30579/Watashi
Kimi no Suizou wo Tabetai,"Shiga, Haruki",Main,1180,https://myanimelist.net/character/158197/Haruki_Shiga
Kimi no Suizou wo Tabetai,"Yamauchi, Sakura",Main,3811,https://myanimelist.net/character/157117/Sakura_Yamauchi
Perfect Blue,"Kirigoe, Mima",Main,886,https://myanimelist.net/character/4866/Mima_Kirigoe
Fate/Zero 2nd Season,"Emiya, Kiritsugu",Main,16795,https://myanimelist.net/character/10010/Kiritsugu_Emiya
Fate/Zero 2nd Season,Gilgamesh,Main,15650,https://myanimelist.net/character/2514/Gilgamesh
Steins;Gate 0,"Hiyajou, Maho",Main,1041,https://myanimelist.net/character/83419/Maho_Hiyajou
Shoujo☆Kageki Revue Starlight Movie,"Aijou, Karen",Main,108,https://myanimelist.net/character/151663/Karen_Aijou
Shoujo☆Kageki Revue Starlight Movie,"Daiba, Nana",Main,467,https://myanimelist.net/character/151666/Nana_Daiba
Shoujo☆Kageki Revue Starlight Movie,"Hanayagi, Kaoruko",Main,68,https://myanimelist.net/character/151667/Kaoruko_Hanayagi
Shoujo☆Kageki Revue Starlight Movie,"Hoshimi, Junna",Main,117,https://myanimelist.net/character/151668/Junna_Hoshimi
Shoujo☆Kageki Revue Starlight Movie,"Isurugi, Futaba",Main,31,https://myanimelist.net/character/151670/Futaba_Isurugi
